Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~cs301_YourGroupNumber.PrjPCB|ReportField=ProjectFullPath~\\files.auckland.ac.nz\myhome\Desktop\template\cs301_YourGroupNumber.PrjPCB|ReportField=Title~Bill of Materials For Project [cs301_YourGroupNumber.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~141|ReportField=ReportTime~9:37:12 PM|ReportField=ReportDate~13/08/2019|ReportField=ReportDateTime~13/08/2019 9:37:12 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~13/08/2019|ReportField=CurrentTime~9:37:02 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~\\files.auckland.ac.nz\myhome\Desktop\template\cs301_YourGroupNumber.SchDoc|ReportField=DocumentName~cs301_YourGroupNumber.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~13/08/2019|ReportField=Organization~|ReportField=ProjectName~cs301_YourGroupNumber.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~cs301_YourGroupNumber.PrjPCB|ReportField=DataSourceFullPath~\\files.auckland.ac.nz\myhome\Desktop\template\cs301_YourGroupNumber.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Battery|Connector|BT1, J11|sip2|CON2|2
2||Capacitor Non Polarised Through Hole|C?_U_ByPassPowerSupply1, C?_U_ByPassPowerSupply1, C?_U_ByPassPowerSupply2, C?_U_ByPassPowerSupply2, C?_U_ByPassPowerSupply3, C?_U_ByPassPowerSupply3, C?_U_ByPassPowerSupply4, C?_U_ByPassPowerSupply4, C?_U_ByPassPowerSupply5, C?_U_ByPassPowerSupply5, C?_U_ByPassPowerSupply6, C?_U_ByPassPowerSupply6, C?_U_HighPass1, C?_U_HighPass1, C?_U_HighPass2, C?_U_HighPass2, C?_U_HighPass3, C?_U_HighPass3, C?_U_HighPass4, C?_U_HighPass4, C?_U_HighPass5, C?_U_HighPass5, C?_U_HighPass6, C?_U_HighPass6, C?_U_LowPass1, C?_U_LowPass1, C?_U_LowPass2, C?_U_LowPass2, C?_U_LowPass3, C?_U_LowPass3, C?_U_LowPass4, C?_U_LowPass4, C?_U_LowPass5, C?_U_LowPass5, C?_U_LowPass6, C?_U_LowPass6|FILM CAP-0.2|CAP|36
3|LED||D1, D2, D3, D4, D5|LED0.1/5MM|LED|5
4|CON7|Connector|J1, J2|SIP7|CON7|2
5|SF|Connector|J3, J4|SIP1/0.6|CON1|2
6|usb|Connector|J7, J8|SIP5|CON5|2
7|26PIN||J9, J10|SIP26|26PIN|2
8|5V|Connector|J12|sip2|CON2|1
9|Rst|Connector|J13|sip2|CON2|1
10|ENCD|Connector|J14, J15|sip2|CON2|2
11|M1|Connector|J16|sip6|CON6|1
12|M2|Connector|J17|sip6|CON6|1
13|FB|Connector|J18, J19|SIP1/0.6|CON1|2
14|5V|Connector|J20, J21|sip3|CON3|2
15|GND|Connector|J22, J23|sip3|CON3|2
16|VEMT3700|Silicon NPN Phototransistor|Q??_U_Sensor1, Q??_U_Sensor2, Q??_U_Sensor3, Q??_U_Sensor4, Q??_U_Sensor5, Q??_U_Sensor6|VEMT3700|VEMT3700|6
17||Through Hole Resistor|R?_U_DifferentialAmplifier1, R?_U_DifferentialAmplifier1, R?_U_DifferentialAmplifier1, R?_U_DifferentialAmplifier1, R?_U_DifferentialAmplifier2, R?_U_DifferentialAmplifier2, R?_U_DifferentialAmplifier2, R?_U_DifferentialAmplifier2, R?_U_DifferentialAmplifier3, R?_U_DifferentialAmplifier3, R?_U_DifferentialAmplifier3, R?_U_DifferentialAmplifier3, R?_U_DifferentialAmplifier4, R?_U_DifferentialAmplifier4, R?_U_DifferentialAmplifier4, R?_U_DifferentialAmplifier4, R?_U_DifferentialAmplifier5, R?_U_DifferentialAmplifier5, R?_U_DifferentialAmplifier5, R?_U_DifferentialAmplifier5, R?_U_DifferentialAmplifier6, R?_U_DifferentialAmplifier6, R?_U_DifferentialAmplifier6, R?_U_DifferentialAmplifier6, R?_U_HighPass1, R?_U_HighPass1, R?_U_HighPass2, R?_U_HighPass2, R?_U_HighPass3, R?_U_HighPass3, R?_U_HighPass4, R?_U_HighPass4, R?_U_HighPass5, R?_U_HighPass5, R?_U_HighPass6, R?_U_HighPass6, R?_U_LowPass1, R?_U_LowPass1, R?_U_LowPass2, R?_U_LowPass2, R?_U_LowPass3, R?_U_LowPass3, R?_U_LowPass4, R?_U_LowPass4, R?_U_LowPass5, R?_U_LowPass5, R?_U_LowPass6, R?_U_LowPass6|AXIAL-0.4|Res|48
18|RES2||R?_U_Sensor1, R?_U_Sensor2, R?_U_Sensor3, R?_U_Sensor4, R?_U_Sensor5, R?_U_Sensor6|AXIAL0.4|RES2|6
19|LM324N|IC OPAMP LM324 QUAD TH|U?_U_DifferentialAmplifier1, U?_U_DifferentialAmplifier2, U?_U_DifferentialAmplifier3, U?_U_DifferentialAmplifier4, U?_U_DifferentialAmplifier5, U?_U_DifferentialAmplifier6, U?_U_HighPass1, U?_U_HighPass2, U?_U_HighPass3, U?_U_HighPass4, U?_U_HighPass5, U?_U_HighPass6, U?_U_LowPass1, U?_U_LowPass2, U?_U_LowPass3, U?_U_LowPass4, U?_U_LowPass5, U?_U_LowPass6|ECE-DIP14TH|OPA000002|18
